2020-09-16 04:47:51,544 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb None None {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch', 'viz': {'confusion_matrix': {'id': 'wandb/confusion_matrix/v1', 'historyFieldSettings': {'key': 'confusion_matrix', 'x-axis': '_step'}}}}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False, 'seed': 42, 'log_interval': 0}
2020-09-16 04:48:42,815 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb None None {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch', 'viz': {'confusion_matrix': {'id': 'wandb/confusion_matrix/v1', 'historyFieldSettings': {'key': 'confusion_matrix', 'x-axis': '_step'}}}}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False, 'seed': 42, 'log_interval': 0}
2020-09-16 04:49:34,142 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb None None {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch', 'viz': {'confusion_matrix': {'id': 'wandb/confusion_matrix/v1', 'historyFieldSettings': {'key': 'confusion_matrix', 'x-axis': '_step'}}}}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False, 'seed': 42, 'log_interval': 0}
2020-09-16 04:50:30,404 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb None None {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch', 'viz': {'confusion_matrix': {'id': 'wandb/confusion_matrix/v1', 'historyFieldSettings': {'key': 'confusion_matrix', 'x-axis': '_step'}}}}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False, 'seed': 42, 'log_interval': 0}
2020-09-16 04:51:25,359 INFO    MainThread:2900 [wandb_run.py:_config_callback():506] config_cb None None {'_wandb': {'cli_version': '0.10.0', 'python_version': '3.7.7', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch', 'viz': {'confusion_matrix': {'id': 'wandb/confusion_matrix/v1', 'historyFieldSettings': {'key': 'confusion_matrix', 'x-axis': '_step'}}}}, 'batch_size': 16, 'test_batch_size': 16, 'epochs': 20, 'lr': 0.005, 'momentum': 0.8, 'no_cuda': False, 'seed': 42, 'log_interval': 0}
2020-09-16 04:51:25,524 INFO    MainThread:2900 [wandb_init.py:_pause_backend():229] pausing backend
2020-09-16 04:51:25,566 INFO    MainThread:2900 [wandb_init.py:_resume_backend():234] resuming backend
2020-09-16 04:51:25,592 INFO    MainThread:2900 [wandb_init.py:_log_setup():307] Logging user logs to wandb/run-20200916_045125-12s3bufe/logs/debug.log
2020-09-16 04:51:25,593 INFO    MainThread:2900 [wandb_init.py:_log_setup():308] Logging internal logs to wandb/run-20200916_045125-12s3bufe/logs/debug-internal.log
2020-09-16 04:51:25,593 INFO    MainThread:2900 [wandb_setup.py:_flush():68] setting env: {}
2020-09-16 04:51:25,593 INFO    MainThread:2900 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-09-16 04:51:25,593 WARNING MainThread:2900 [wandb_setup.py:_flush():68] Ignoring settings passed to wandb.setup() which has already been configured.
2020-09-16 04:51:25,593 INFO    MainThread:2900 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fa01da8b610>
2020-09-16 04:51:25,593 INFO    MainThread:2900 [wandb_run.py:finish():864] finishing run testing/8xlc1rz7
2020-09-16 04:51:25,593 INFO    MainThread:2900 [wandb_init.py:_jupyter_teardown():239] cleaning up jupyter logic
2020-09-16 04:51:25,594 INFO    MainThread:2900 [jupyter.py:save_history():200] not saving jupyter history
